nohup: ignoring input
================================================================================
🚀 算力怪兽觉醒：256核并行 | 全局纯缩放 | 1D 宏观常数 k1 寻优
================================================================================
[*] 正在加载靶向黎曼零点...
[*] 演化步数已锁定为: 100亿步
[*] 寻优法则: 纯缩放 (Pure Scaling) + 全局误差计算 (不屏蔽前50点)
[*] ⚠️ 正在为 256核 阵列分配任务，起飞！
[Worker] 尝试 k=12.562180 | 纯缩放 Scale=339.5514 | 全局 MSE=77.1681 | 耗时=2280.2s
[Worker] 尝试 k=14.552663 | 纯缩放 Scale=863.5571 | 全局 MSE=63248.8282 | 耗时=2280.5s
[Worker] 尝试 k=9.269461 | 纯缩放 Scale=337.9283 | 全局 MSE=123.7476 | 耗时=2281.2s
[Worker] 尝试 k=13.863304 | 纯缩放 Scale=560.3100 | 全局 MSE=11224.1957 | 耗时=2281.7s
[Worker] 尝试 k=14.594149 | 纯缩放 Scale=542.5969 | 全局 MSE=9635.2250 | 耗时=2282.1s
[Worker] 尝试 k=11.154060 | 纯缩放 Scale=753.8185 | 全局 MSE=35323.7804 | 耗时=2282.9s
[Worker] 尝试 k=7.971935 | 纯缩放 Scale=648.5950 | 全局 MSE=26502.9013 | 耗时=2283.3s
[Worker] 尝试 k=13.950343 | 纯缩放 Scale=246.0342 | 全局 MSE=1309.7675 | 耗时=2283.9s
[Worker] 尝试 k=10.249020 | 纯缩放 Scale=476.5939 | 全局 MSE=3800.7999 | 耗时=2284.0s
[Worker] 尝试 k=9.186279 | 纯缩放 Scale=555.4075 | 全局 MSE=11029.1582 | 耗时=2284.7s
[Worker] 尝试 k=6.938469 | 纯缩放 Scale=655.4412 | 全局 MSE=26444.4258 | 耗时=2285.4s
[Worker] 尝试 k=6.651091 | 纯缩放 Scale=288.3117 | 全局 MSE=470.4202 | 耗时=2285.7s
[Worker] 尝试 k=14.606646 | 纯缩放 Scale=298.7636 | 全局 MSE=601.9203 | 耗时=2286.4s
[Worker] 尝试 k=11.283066 | 纯缩放 Scale=274.3880 | 全局 MSE=772.6537 | 耗时=2286.7s
[Worker] 尝试 k=7.184548 | 纯缩放 Scale=1005.3405 | 全局 MSE=98876.7480 | 耗时=2286.8s
[Worker] 尝试 k=9.369865 | 纯缩放 Scale=444.4994 | 全局 MSE=4478.8466 | 耗时=2287.0s
[Worker] 尝试 k=12.165011 | 纯缩放 Scale=1848.3458 | 全局 MSE=482029.5165 | 耗时=2287.2s
[Worker] 尝试 k=10.931177 | 纯缩放 Scale=752.9218 | 全局 MSE=45605.7239 | 耗时=2287.4s
[Worker] 尝试 k=5.249765 | 纯缩放 Scale=228.4668 | 全局 MSE=1992.6913 | 耗时=2287.4s
[Worker] 尝试 k=5.015467 | 纯缩放 Scale=375.9183 | 全局 MSE=889.2202 | 耗时=2287.4s
[Worker] 尝试 k=8.283548 | 纯缩放 Scale=660.2494 | 全局 MSE=23826.0578 | 耗时=2287.9s
[Worker] 尝试 k=9.010966 | 纯缩放 Scale=378.0378 | 全局 MSE=574.7198 | 耗时=2288.4s
[Worker] 尝试 k=12.437419 | 纯缩放 Scale=429.2351 | 全局 MSE=2847.0743 | 耗时=2288.6s
[Worker] 尝试 k=11.358451 | 纯缩放 Scale=531.9251 | 全局 MSE=7085.5259 | 耗时=2289.1s
[Worker] 尝试 k=8.669043 | 纯缩放 Scale=1212.6770 | 全局 MSE=169242.7442 | 耗时=2289.8s
[Worker] 尝试 k=12.208994 | 纯缩放 Scale=294.5195 | 全局 MSE=375.0588 | 耗时=2290.3s
[Worker] 尝试 k=8.532261 | 纯缩放 Scale=235.8182 | 全局 MSE=1707.0897 | 耗时=2290.7s
[Worker] 尝试 k=5.568445 | 纯缩放 Scale=256.9208 | 全局 MSE=798.2825 | 耗时=2290.8s
[Worker] 尝试 k=12.679507 | 纯缩放 Scale=1259.6763 | 全局 MSE=154093.9116 | 耗时=2291.4s
[Worker] 尝试 k=7.370803 | 纯缩放 Scale=531.3925 | 全局 MSE=9073.4096 | 耗时=2292.6s
[Worker] 尝试 k=14.263285 | 纯缩放 Scale=317.8591 | 全局 MSE=155.9872 | 耗时=2294.1s
[Worker] 尝试 k=6.280122 | 纯缩放 Scale=1150.4181 | 全局 MSE=167598.9961 | 耗时=2294.2s
[Worker] 尝试 k=12.911653 | 纯缩放 Scale=1600.9597 | 全局 MSE=330996.6508 | 耗时=2295.4s
[Worker] 尝试 k=13.822321 | 纯缩放 Scale=877.9969 | 全局 MSE=60111.3138 | 耗时=2295.4s
[Worker] 尝试 k=12.699522 | 纯缩放 Scale=1398.8473 | 全局 MSE=254507.6674 | 耗时=2295.6s
[Worker] 尝试 k=5.976321 | 纯缩放 Scale=237.6735 | 全局 MSE=1871.6309 | 耗时=2296.4s
[Worker] 尝试 k=5.878875 | 纯缩放 Scale=229.4820 | 全局 MSE=1706.0324 | 耗时=2296.5s
